Unnamed: 0,id,state,guests,beds,property_type,n_reviews,rating,price,neighborhood,city
336,MA6134,Massachusetts,2,1,Condominium,4.0,99.0,129,Beacon Hill,Boston
337,FD4623,Massachusetts,4,2,Apartment,2.0,100.0,150,Roxbury,Boston
338,CK7306,Massachusetts,2,1,Townhouse,5.0,100.0,50,Jamaica Plain,Boston
339,CT6532,California,2,1,Apartment,85.0,92.0,98,Downtown,Los Angeles
340,FD6339,California,1,1,Apartment,1.0,99.0,50,South LA,Los Angeles
341,FJ4933,Massachusetts,1,1,Apartment,16.0,96.0,88,South End,Boston
342,NG8460,California,4,2,Apartment,12.0,96.0,100,Westchester/Playa Del Rey,Los Angeles
343,WI3419,California,5,2,Apartment,35.0,95.0,156,Marina Del Rey,Los Angeles
344,AJ2843,California,2,2,House,106.0,98.0,104,Hollywood,Los Angeles
345,FF5694,Massachusetts,2,1,Apartment,95.0,97.0,133,South End,Boston
346,YE9806,California,4,3,Apartment,16.0,98.0,142,Culver City,Los Angeles
347,DS3567,Massachusetts,2,1,Apartment,6.0,93.0,139,Beacon Hill,Boston
348,EK7925,Massachusetts,6,4,Apartment,25.0,95.0,129,Allston-Brighton,Boston
349,AT1142,California,2,1,Apartment,1.0,100.0,150,Toluca Lake,Los Angeles
350,FN9174,Massachusetts,2,1,House,1.0,79.0,135,Jamaica Plain,Boston
351,GN3830,Illinois,2,1,Apartment,55.0,96.0,149,River North,Chicago
352,OZ8477,California,2,1,House,62.0,92.0,100,Mar Vista,Los Angeles
353,XA7732,Illinois,6,3,Apartment,14.0,92.0,74,Norwood Park,Chicago
354,OX2048,Illinois,7,2,Townhouse,2.0,97.0,129,Oakland,Chicago
355,DR4298,Massachusetts,4,2,Apartment,90.0,88.0,166,Roxbury,Boston
356,NH9166,California,6,4,Apartment,135.0,97.0,115,Mount Washington,Los Angeles
357,PJ6577,Massachusetts,2,1,Apartment,7.0,91.0,175,South Boston,Boston
358,QG6830,Massachusetts,4,2,Apartment,2.0,79.0,109,Theater District,Boston
